,SubID,humanAssigned,0,1,2,3,CorrectAssignment
0,perma2,Exercise,Exercise,Diet,Positivity,Sleep,True
1,perma4,Positivity,Positivity,Exercise,Sleep,Diet,True
2,perma5,Diet,Exercise,Diet,Sleep,Positivity,True
3,perma6,Sleep,Sleep,Diet,Positivity,Exercise,True
4,perma9,Positivity,Exercise,Positivity,Diet,Sleep,True
5,perma10,Sleep,Sleep,Positivity,Exercise,Diet,True
6,perma14,Positivity,Exercise,Diet,Sleep,Positivity,False
7,perma16,Positivity,Positivity,Sleep,Diet,Exercise,True
8,perma19,Diet,Diet,Positivity,Exercise,Sleep,True
9,perma23,Positivity,Positivity,Sleep,Diet,Exercise,True
10,perma24,Diet,Diet,Positivity,Exercise,Sleep,True
11,perma26,Positivity,Positivity,Exercise,Diet,Sleep,True
12,perma27,Positivity,Exercise,Positivity,Diet,Sleep,True
13,perma29,Positivity,Positivity,Diet,Sleep,Exercise,True
14,perma30,Diet,Exercise,Diet,Positivity,Sleep,True
15,perma33,Exercise,Exercise,Positivity,Diet,Sleep,True
16,perma35,Sleep,Sleep,Exercise,Diet,Positivity,True
17,perma36,Exercise,Exercise,Sleep,Positivity,Diet,True
18,perma37,Positivity,Exercise,Positivity,Diet,Sleep,True
19,perma38,Sleep,Sleep,Diet,Positivity,Exercise,True
20,perma41,Positivity,Positivity,Sleep,Exercise,Diet,True
21,perma44,Exercise,Exercise,Positivity,Sleep,Diet,True
22,perma45,Positivity,Exercise,Positivity,Sleep,Diet,True
23,perma46,Exercise,Positivity,Sleep,Exercise,Diet,False
24,perma49,Exercise,Diet,Exercise,Positivity,Sleep,True
25,perma51,Exercise,Exercise,Positivity,Diet,Sleep,True
26,perma53,Exercise,Exercise,Diet,Positivity,Sleep,True
27,perma54,Exercise,Exercise,Positivity,Sleep,Diet,True
28,perma55,Positivity,Positivity,Exercise,Diet,Sleep,True
29,perma57,Exercise,Exercise,Diet,Positivity,Sleep,True
30,perma58,Positivity,Positivity,Sleep,Exercise,Diet,True
31,perma61,Positivity,Positivity,Diet,Exercise,Sleep,True
32,perma62,Diet,Exercise,Diet,Positivity,Sleep,True
33,perma63,Exercise,Exercise,Positivity,Sleep,Diet,True
34,perma65,Positivity,Diet,Positivity,Exercise,Sleep,True
35,perma66,Exercise,Sleep,Positivity,Diet,Exercise,False
36,perma68,Exercise,Exercise,Sleep,Diet,Positivity,True
37,perma69,Sleep,Positivity,Exercise,Diet,Sleep,False
38,perma70,Positivity,Positivity,Diet,Exercise,Sleep,True
39,perma72,Positivity,Diet,Sleep,Positivity,Exercise,False
