,SubID,humanAssigned,0,1,2,3,CorrectAssignment
0,perma2,Exercise,Exercise,Positivity,Diet,Sleep,TRUE
1,perma4,Positivity,Positivity,Exercise,Sleep,Diet,TRUE
2,perma5,Diet,Exercise,Diet,Sleep,Positivity,TRUE
3,perma6,Sleep,Sleep,Diet,Positivity,Exercise,TRUE
4,perma9,Positivity,Sleep,Positivity,Exercise,Diet,TRUE
5,perma10,Sleep,Sleep,Positivity,Exercise,Diet,TRUE
6,perma14,Positivity,Positivity,Exercise,Sleep,Diet,TRUE
7,perma16,Positivity,Positivity,Sleep,Exercise,Diet,TRUE
8,perma19,Diet,Diet,Positivity,Exercise,Sleep,TRUE
9,perma23,Positivity,Positivity,Exercise,Diet,Sleep,TRUE
10,perma24,Diet,Diet,Sleep,Positivity,Exercise,TRUE
11,perma26,Positivity,Positivity,Exercise,Diet,Sleep,TRUE
12,perma27,Positivity,Positivity,Exercise,Diet,Sleep,TRUE
13,perma29,Positivity,Positivity,Sleep,Exercise,Diet,TRUE
14,perma30,Diet,Diet,Exercise,Sleep,Positivity,TRUE
15,perma33,Exercise,Exercise,Positivity,Diet,Sleep,TRUE
16,perma35,Sleep,Sleep,Exercise,Positivity,Diet,TRUE
17,perma36,Exercise,Exercise,Positivity,Sleep,Diet,TRUE
18,perma37,Positivity,Positivity,Diet,Sleep,Exercise,TRUE
19,perma38,Sleep,Sleep,Diet,Positivity,Exercise,TRUE
20,perma41,Positivity,Positivity,Sleep,Exercise,Diet,TRUE
21,perma44,Exercise,Exercise,Diet,Sleep,Positivity,TRUE
22,perma45,Positivity,Exercise,Sleep,Positivity,Diet,FALSE
23,perma46,Exercise,Positivity,Exercise,Sleep,Diet,TRUE
24,perma49,Exercise,Exercise,Sleep,Diet,Positivity,TRUE
25,perma51,Exercise,Exercise,Positivity,Diet,Sleep,TRUE
26,perma53,Exercise,Exercise,Sleep,Positivity,Diet,TRUE
27,perma54,Exercise,Exercise,Diet,Positivity,Sleep,TRUE
28,perma55,Positivity,Positivity,Exercise,Diet,Sleep,TRUE
29,perma57,Exercise,Positivity,Exercise,Diet,Sleep,TRUE
30,perma58,Positivity,Positivity,Sleep,Exercise,Diet,TRUE
31,perma61,Positivity,Positivity,Diet,Exercise,Sleep,TRUE
32,perma62,Diet,Exercise,Sleep,Positivity,Diet,FALSE
33,perma63,Exercise,Exercise,Positivity,Sleep,Diet,TRUE
34,perma65,Positivity,Positivity,Exercise,Diet,Sleep,TRUE
35,perma66,Exercise,Positivity,Sleep,Exercise,Diet,TRUE
36,perma68,Exercise,Exercise,Sleep,Diet,Positivity,TRUE
37,perma69,Sleep,Sleep,Exercise,Positivity,Diet,TRUE
38,perma70,Positivity,Exercise,Positivity,Diet,Sleep,TRUE
39,perma72,Positivity,Sleep,Positivity,Exercise,Diet,TRUE
