,rank,level_0,level_1,high Depression,low Depression
0,4.0,Diet_satisfaction,MEAN,3.304,3.861
1,,Score 1-5,CORR,-0.2477848104232003,-0.2477848104232003
2,,,STD,1.516,1.437
3,,,CI95,2.634 - 3.975,3.368 - 4.354
4,5.0,past_day_fats,MEAN,1.348,1.694
5,,portions,CORR,0.1301445998065272,0.1301445998065272
6,,,STD,1.202,1.578
7,,,CI95,0.816 - 1.879,1.153 - 2.236
8,10.0,past_day_caffeine,MEAN,2.565,2.806
9,,cups,CORR,-0.1639812703575631,-0.1639812703575631
10,,,STD,1.173,1.126
11,,,CI95,2.047 - 3.084,2.419 - 3.192
12,16.0,past_day_sugars,MEAN,0.565,0.667
13,,portions,CORR,0.0009046072674873,0.0009046072674873
14,,,STD,0.876,1.179
15,,,CI95,0.178 - 0.953,0.262 - 1.071
