,rank,level_0,level_1,high Depression,low Depression
0,2.0,past_day_exercise_moderate,MEAN,0.154,0.293
1,,Hrs,CORR,-0.2507878592530697,-0.2507878592530697
2,,,STD,0.318,0.429
3,,,CI95,0.023 - 0.285,0.143 - 0.442
4,4.0,past_day_exercise_mild,MEAN,0.423,0.307
5,,Hrs,CORR,0.1587199522905887,0.1587199522905887
6,,,STD,0.583,0.630
7,,,CI95,0.183 - 0.663,0.088 - 0.527
8,9.0,exercise_duration,MEAN,17.829,23.988
9,,Min,CORR,-0.0037831069196668,-0.0037831069196668
10,,,STD,20.588,36.034
11,,,CI95,9.349 - 26.310,11.429 - 36.547
12,10.0,cumm_step_distance,MEAN,1743.450,2020.415
13,,meters,CORR,-0.1063269422506162,-0.1063269422506162
14,,,STD,1482.719,1597.514
15,,,CI95,1132.707 - 2354.194,1463.638 - 2577.192
16,11.0,cumm_step_count,MEAN,2570.154,2977.371
17,,count,CORR,-0.1042915653566303,-0.1042915653566303
18,,,STD,2153.012,2338.673
19,,,CI95,1683.312 - 3456.996,2162.281 - 3792.462
20,12.0,cumm_step_calorie,MEAN,77.037,89.503
21,,kCal,CORR,-0.1225239555619125,-0.1225239555619125
22,,,STD,64.818,70.337
23,,,CI95,50.338 - 103.736,64.989 - 114.017
24,14.0,exercise_calorie,MEAN,54.618,74.445
25,,kCal,CORR,-0.0206140723990007,-0.0206140723990007
26,,,STD,63.123,114.598
27,,,CI95,28.617 - 80.618,34.505 - 114.386
28,19.0,Exercise_satisfaction,MEAN,4.769,4.829
29,,Score 1-5,CORR,0.1307352278611818,0.1307352278611818
30,,,STD,0.639,0.560
31,,,CI95,4.506 - 5.032,4.633 - 5.024
32,27.0,cumm_step_speed,MEAN,1.162,1.149
33,,meters/sec,CORR,0.0255998812159073,0.0255998812159073
34,,,STD,0.097,0.069
35,,,CI95,1.122 - 1.202,1.125 - 1.174
36,31.0,heart_rate,MEAN,65.456,65.161
37,,bpm,CORR,0.0236136829218116,0.0236136829218116
38,,,STD,2.677,3.228
39,,,CI95,64.353 - 66.558,64.036 - 66.286
40,,past_day_exercise_strenuous,MEAN,0.000,0.000
41,,Hrs,CORR,0.0236136829218116,0.0236136829218116
42,,,STD,0.000,0.000
43,,,CI95,nan - nan,nan - nan
