,rank,level_0,level_1,high Depression,low Depression
0,2.0,Connect_satisfaction,MEAN,2.034,3.032
1,,Score 1-5,CORR,-0.6142733646352064,-0.6142733646352064
2,,,STD,0.928,0.595
3,,,CI95,1.675 - 2.394,2.810 - 3.254
4,7.0,Connect_chattime,MEAN,0.284,0.589
5,,Hrs,CORR,-0.4065527475833868,-0.4065527475833868
6,,,STD,0.439,0.580
7,,,CI95,0.115 - 0.454,0.372 - 0.805
8,10.0,Connect_chatpeople,MEAN,0.621,1.290
9,,# people,CORR,-0.4162601146005592,-0.4162601146005592
10,,,STD,0.715,0.923
11,,,CI95,0.344 - 0.897,0.946 - 1.634
12,17.0,Gratitude,MEAN,5.000,5.625
13,,Score 1-7,CORR,-0.1105333674022545,-0.1105333674022545
14,,,STD,0.926,0.696
15,,,CI95,nan - nan,nan - nan
16,18.0,Reflect_totaltime,MEAN,52373.500,45358.125
17,,msec,CORR,-0.0168098871230307,-0.0168098871230307
18,,,STD,23864.743,30660.838
19,,,CI95,nan - nan,nan - nan
20,21.0,Reflect_activetime,MEAN,15336.333,15867.500
21,,msec,CORR,-0.030547916700736,-0.030547916700736
22,,,STD,9280.302,15945.201
23,,,CI95,nan - nan,nan - nan
24,24.0,Connect_grouptime,MEAN,0.034,0.048
25,,Hrs,CORR,0.0096029690040062,0.0096029690040062
26,,,STD,0.182,0.265
27,,,CI95,-0.036 - 0.105,-0.050 - 0.147
28,,Connect_volunteertime,MEAN,0.000,0.000
29,,Hrs,CORR,-0.1616040168979336,-0.1616040168979336
30,,,STD,0.000,0.000
31,,,CI95,nan - nan,nan - nan
