,rank,level_0,level_1,high Depression,low Depression
0,3.0,Sleep_bedtime,MEAN,21:57,22:47
1,,24 Hr scale,CORR,0.1459026513514227,0.1459026513514227
2,,,STD,00:54,01:35
3,,,CI95,21:37 - 22:16,22:12 - 23:22
4,4.0,Sleep_satisfaction,MEAN,2.303,2.625
5,,Score 1-5,CORR,-0.2291595167191284,-0.2291595167191284
6,,,STD,0.797,0.740
7,,,CI95,2.016 - 2.590,2.354 - 2.896
8,10.0,Sleep_percent,MEAN,76.364,86.875
9,,% of time asleep in bed,CORR,-0.6377345250269366,-0.6377345250269366
10,,,STD,6.884,5.694
11,,,CI95,73.885 - 78.842,84.789 - 88.961
12,16.0,Sleep_naptime,MEAN,4.091,3.750
13,,Min,CORR,-0.0896610781361167,-0.0896610781361167
14,,,STD,13.453,12.437
15,,,CI95,-0.753 - 8.935,-0.806 - 8.306
16,23.0,Sleep_wakeuptime,MEAN,06:08,06:24
17,,24 Hr scale,CORR,-0.4206310447329376,-0.4206310447329376
18,,,STD,00:23,00:43
19,,,CI95,06:00 - 06:16,06:08 - 06:39
20,25.0,Sleep_duration,MEAN,7.280,6.992
21,,Hrs,CORR,0.1511459216292421,0.1511459216292421
22,,,STD,0.771,1.315
23,,,CI95,7.003 - 7.558,6.511 - 7.474
